well_id,borehole_name,uwi,nitg_number,mapviewer_id,public_as_of,on_offshore,lon,lat,detail_url
ZWD-KNZ-03,ZUIDWENDING ZOUT-03,2361,B12F0084,106511838,2003-01-01,ON,6.93144361,53.08188148,https://www.nlog.nl/nlog-mapviewer/brh/106511838
ZWD-KNZ-04,ZUIDWENDING ZOUT-04,2362,B12F0085,106511844,2003-01-01,ON,6.93582364,53.08125974,https://www.nlog.nl/nlog-mapviewer/brh/106511844
ZWD-KNZ-05,ZUIDWENDING ZOUT-05,2363,B12F0086,106511850,2003-01-01,ON,6.92760689,53.08190941,https://www.nlog.nl/nlog-mapviewer/brh/106511850
ZWD-KNZ-06,ZUIDWENDING ZOUT-06,2364,B12F0087,106511856,2003-01-01,ON,6.92944497,53.08388154,https://www.nlog.nl/nlog-mapviewer/brh/106511856
ZWD-KNZ-07,ZUIDWENDING ZOUT-07,2365,B12F0088,106511862,2003-01-01,ON,6.93146278,53.0858567,https://www.nlog.nl/nlog-mapviewer/brh/106511862
ZWD-KNZ-08,ZUIDWENDING ZOUT-08,3681,B12F0176,106518164,2003-01-01,ON,6.93759038,53.08767773,https://www.nlog.nl/nlog-mapviewer/brh/106518164
ZWD-KNZ-09,ZUIDWENDING ZOUT-09,3684,B12F0177,106518179,2003-01-01,ON,6.9332251,53.0878133,https://www.nlog.nl/nlog-mapviewer/brh/106518179
ZWE-01,ZWEELO-01,2366,B17G0036,106511868,2003-01-01,ON,6.70283386,52.773279,https://www.nlog.nl/nlog-mapviewer/brh/106511868
ZWE-02,ZWEELO-02,2367,B17G0037,106511873,2003-01-01,ON,6.72413741,52.78028387,https://www.nlog.nl/nlog-mapviewer/brh/106511873
ZWE-03,ZWEELO-03,2368,B17G0058,106511878,2003-01-01,ON,6.72406344,52.7802862,https://www.nlog.nl/nlog-mapviewer/brh/106511878
ZWK-01,ZUIDWIJK-01,5685,B19G1127,981353086,2017-04-06,ON,4.87231177,52.53364235,https://www.nlog.nl/nlog-mapviewer/brh/981353086
ZWO-01,ZWOLLE-01,2369,B21G0290,106511883,2003-01-01,ON,6.182765,52.4888376,https://www.nlog.nl/nlog-mapviewer/brh/106511883
BRW-04,BORGSWEER-04,4488,B08A0147,106522064,2011-03-30,ON,7.01715696,53.29059405,https://www.nlog.nl/nlog-mapviewer/brh/106522064
BRW-05,BORGSWEER-05,5729,B08A0802,1245053802,2018-07-01,ON,7.01727772,53.29076088,https://www.nlog.nl/nlog-mapviewer/brh/1245053802
BSKP-01,BOSKOOP-01,3973,B31C0240,106519467,2005-04-19,ON,4.65093783,52.09360949,https://www.nlog.nl/nlog-mapviewer/brh/106519467
