KID,SPUD,COMPLETION,vintage_year
1001188510,1962-12-10,1962-12-24,1962.0
1001237508,1960-06-28,1960-07-19,1960.0
1001308989,,1987-07-08,1987.0
1002877684,1981-07-29,1981-11-16,1981.0
1002882079,1980-10-06,1980-11-11,1980.0
1002887259,1976-11-22,1976-12-23,1976.0
1002887264,1976-12-03,1976-12-29,1976.0
1002887273,1977-03-22,1977-04-04,1977.0
1002887856,1994-05-16,1994-08-12,1994.0
1002891963,1982-05-19,1982-05-24,1982.0
1002897484,1977-03-04,1977-04-06,1977.0
1002897979,1980-11-29,1980-12-05,1980.0
1002898527,1977-07-05,1977-12-15,1977.0
1002903052,1977-04-09,1977-08-16,1977.0
1002903211,1977-10-09,1977-10-12,1977.0
1002904413,1982-02-15,1982-04-07,1982.0
1002904619,1983-07-06,1983-11-02,1983.0
1002904907,1985-05-14,1986-02-26,1986.0
1002905267,1985-09-09,1985-09-26,1985.0
1002905271,1985-09-13,1985-09-21,1985.0
1002905275,1985-09-06,1985-10-23,1985.0
1002905423,1987-09-21,1987-11-01,1987.0
1002905656,1992-12-19,1993-02-15,1993.0
1002905982,1967-10-19,1967-12-04,1967.0
1002906178,1976-12-04,1976-12-29,1976.0
1002906190,1977-03-10,1977-04-05,1977.0
1002908695,1983-09-19,1983-09-24,1983.0
1002915523,1953-01-21,1953-03-21,1953.0
1002915553,1979-07-02,1979-07-29,1979.0
1002916183,1939-01-04,1939-01-10,1939.0
1002916272,1967-10-04,1967-12-05,1967.0
1002916554,1969-11-24,1970-01-20,1970.0
1002916596,1970-03-05,1970-04-29,1970.0
1002917246,1977-09-12,1977-09-27,1977.0
1002918643,1984-05-03,1984-05-11,1984.0
1002921732,1962-11-20,1962-12-16,1962.0
1002921901,1998-04-14,1998-05-15,1998.0
1002927778,1985-05-25,1985-05-27,1985.0
1002927879,1985-12-06,1986-09-01,1986.0
1002927978,1986-06-15,1986-06-15,1986.0
1002947613,1998-03-10,1998-04-15,1998.0
1002947638,1998-08-24,1998-10-14,1998.0
1002947656,1998-11-11,1999-01-22,1999.0
1002950792,1960-06-04,1960-06-21,1960.0
1002952839,1955-06-30,1955-07-13,1955.0
1002955022,1982-01-14,1982-01-15,1982.0
1002955925,1998-10-14,1998-10-16,1998.0
1006032935,1994-01-08,1994-02-10,1994.0
1006032951,1994-08-23,1994-09-06,1994.0
1006033493,1977-12-15,1978-01-16,1978.0
1006065837,1997-10-17,1997-11-06,1997.0
1006070631,1984-08-19,1984-08-28,1984.0
1006071005,1990-12-06,1991-01-16,1991.0
1006072348,1990-06-04,1990-06-13,1990.0
1006072524,1973-02-03,1973-03-16,1973.0
1006073515,1989-12-02,1990-12-17,1990.0
1006077319,1986-09-12,1986-09-21,1986.0
1006091247,1958-09-06,1958-11-19,1958.0
1006092135,1981-11-06,1981-12-31,1981.0
1006114184,1997-09-03,1997-09-08,1997.0
1006143511,1980-05-08,1980-05-20,1980.0
1006143839,1982-10-12,1982-11-04,1982.0
1006144273,1986-12-02,1987-02-01,1987.0
1006144515,1988-11-07,1988-11-21,1988.0
1006144627,1990-01-03,1990-01-13,1990.0
1006144755,1991-09-21,1992-01-11,1992.0
1006145027,1993-11-20,1994-01-07,1994.0
1006145094,1994-02-28,1994-03-11,1994.0
1006145550,1997-08-28,1997-09-30,1997.0
1006161739,1980-12-11,1980-12-18,1980.0
1006162671,1984-05-22,1984-06-08,1984.0
1006163689,1992-10-17,1992-10-30,1992.0
1020087316,2000-12-27,2001-02-02,2001.0
1023732513,2001-07-18,2001-08-27,2001.0
1024492779,2002-01-15,2002-01-17,2002.0
1025687181,2001-10-02,2001-10-04,2001.0
1025687182,2001-09-26,2002-01-07,2002.0
1025715280,,,
1025768674,,1979-01-01,1979.0
1025773268,2002-06-14,2002-07-19,2002.0
1025809280,,,
1026601307,2002-11-09,2002-11-13,2002.0
1026645507,2003-01-21,2003-03-17,2003.0
1026645519,2003-02-12,2004-03-30,2004.0
1026645521,2003-01-25,2003-01-27,2003.0
1026645525,,,
1026645765,,1981-10-13,1981.0
1027806951,,1980-09-29,1980.0
1027930785,,,
1027932903,,,
1027937513,,,
1028016277,2003-04-02,2003-04-04,2003.0
1028102544,1982-02-09,1982-02-12,1982.0
1028103358,,,
1028179640,2003-05-21,2003-06-27,2003.0
1028179870,2003-05-29,2003-08-31,2003.0
1028181084,,,
1028444077,2003-06-27,2003-11-24,2003.0
1028444083,2003-07-04,2003-09-08,2003.0
1028643142,2003-07-20,2003-07-23,2003.0
1028643154,2003-07-15,2003-07-18,2003.0
1028643752,2003-07-29,2003-08-14,2003.0
1029099720,2006-07-21,2006-07-29,2006.0
1029101458,2003-10-10,2003-11-05,2003.0
1030456011,2004-03-25,2004-04-15,2004.0
1030570896,2004-04-08,2004-06-18,2004.0
1030571606,2004-02-29,2004-03-08,2004.0
1030614927,2004-03-09,2004-03-19,2004.0
1030614929,2004-03-10,2004-03-19,2004.0
1030614941,2004-03-19,2004-04-02,2004.0
1030614945,2004-03-12,2004-03-19,2004.0
1030614959,2004-04-12,2004-04-19,2004.0
1030624876,1978-05-15,1978-05-31,1978.0
1031002312,2004-05-24,2004-05-26,2004.0
1031002316,2004-07-21,2004-11-01,2004.0
1031003350,2004-05-10,2004-05-20,2004.0
1031003450,2004-04-24,2004-05-12,2004.0
1031003454,2004-04-19,2004-05-10,2004.0
1031315135,2004-05-18,2004-06-01,2004.0
1031315177,2004-05-22,2004-06-03,2004.0
1031315215,2004-05-28,2004-06-11,2004.0
1031315217,2004-10-14,2004-11-12,2004.0
1031315219,2004-06-06,2004-06-29,2004.0
1031315251,2004-06-02,2004-06-11,2004.0
1031315539,2004-07-08,2004-07-20,2004.0
1031315849,2004-05-29,2004-06-15,2004.0
1031315851,2004-06-04,2004-06-25,2004.0
1031430879,2004-07-09,2004-09-02,2004.0
1031430939,2004-07-21,2004-11-01,2004.0
1031431405,2004-06-28,2004-07-14,2004.0
1031431703,2004-06-17,2004-07-01,2004.0
1031431711,2004-06-21,2004-08-09,2004.0
1031523381,2004-07-18,2004-08-03,2004.0
1031523399,2004-07-28,2004-08-04,2004.0
1031523411,2004-08-02,2004-08-10,2004.0
1031523639,2004-07-07,2004-07-22,2004.0
1031523655,2004-07-24,2004-08-12,2004.0
1031523657,2004-07-21,2004-07-30,2004.0
1031535944,2004-08-13,2004-11-05,2004.0
1031536116,2004-08-09,2004-09-02,2004.0
1031536248,2004-08-18,2004-08-27,2004.0
1031536264,2004-09-03,2005-01-15,2005.0
1031536286,2004-08-26,2004-09-15,2004.0
1031536598,2004-08-27,2004-09-10,2004.0
1031536602,2004-08-25,2004-09-07,2004.0
1031639616,2004-09-08,2004-09-14,2004.0
1031639620,2004-09-09,2004-09-17,2004.0
1031639630,,,
1031639672,2004-09-27,2004-10-11,2004.0
1031639692,2004-10-01,2004-10-08,2004.0
1031639840,2004-09-26,2004-10-07,2004.0
1031639846,2004-10-04,2004-10-14,2004.0
1031639908,2004-09-06,2004-09-16,2004.0
1031639914,2004-09-13,2004-10-12,2004.0
1031639934,2004-09-22,2004-09-30,2004.0
1031640218,2004-09-11,2004-09-20,2004.0
1031880705,2004-11-09,2004-12-20,2004.0
1031880739,2004-12-28,2004-12-30,2004.0
1031880821,2004-11-09,2004-11-23,2004.0
1031881326,2004-10-25,2004-11-06,2004.0
1031881330,2004-11-10,2004-11-30,2004.0
1031881332,2004-11-11,2004-12-14,2004.0
1031881336,2004-11-09,2004-11-22,2004.0
1031881606,2004-10-15,2004-10-27,2004.0
1031881610,2004-10-16,2004-10-26,2004.0
1031881944,,,
1031881948,1916-09-12,1916-09-14,1916.0
1031882022,2004-10-08,2004-10-25,2004.0
1031882046,2004-10-20,2004-11-03,2004.0
1031882052,2004-10-28,2004-11-10,2004.0
1031882060,2004-10-28,2004-11-04,2004.0
1031882066,2004-11-02,2004-11-17,2004.0
1031882082,2004-10-29,2004-11-09,2004.0
1031882088,2004-11-02,2004-11-16,2004.0
1031882104,2004-11-06,2004-11-29,2004.0
1031895655,2004-11-19,2004-12-16,2004.0
1031895669,2004-11-10,2004-12-02,2004.0
1031895679,2004-11-24,2004-12-17,2004.0
1031895691,2004-12-23,2005-01-08,2005.0
1031895701,2004-12-10,2004-12-27,2004.0
1031895711,2004-11-17,2004-12-01,2004.0
1031896451,2005-01-04,2005-03-03,2005.0
1031897067,2004-11-17,2004-12-10,2004.0
1031897095,2004-12-22,2005-01-07,2005.0
1031937799,2005-01-09,2005-01-11,2005.0
1031937805,2004-12-27,2005-01-06,2005.0
1031937807,2005-02-04,2005-05-06,2005.0
1031938001,2005-02-17,2005-02-18,2005.0
1031938015,2005-02-24,2005-03-25,2005.0
1031938017,2005-02-22,2005-03-31,2005.0
1031938025,2005-03-02,2005-03-04,2005.0
1031939225,2004-12-16,2004-12-27,2004.0
