well_id,error
1045662653,"ValueError: Cannot reshape ~A data size (48557,) into 39 columns"
1045662711,"ValueError: Cannot reshape ~A data size (59513,) into 39 columns"
1046089038,"ValueError: Cannot reshape ~A data size (161837,) into 39 columns"
1046102494,"ValueError: Cannot reshape ~A data size (25097,) into 4 columns"
1055298364,"ValueError: Cannot reshape ~A data size (22059,) into 7 columns"
1055298605,"ValueError: Cannot reshape ~A data size (16010,) into 15 columns"
1055386000,read timeout > 60s (skipped)
1055545228,"ValueError: Cannot reshape ~A data size (264753,) into 22 columns"
1055545284,"ValueError: Cannot reshape ~A data size (264753,) into 22 columns"
1055768608,KeyError: '0    ! \xa0     `             2.0'
1055814177,KeyError: '4.00W'
