well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_SP,hampel_RDEP,hampel_RMED,hampel_DTC,hampel_RSHA,hampel_DTS
1045139039,kgs,13107,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ac73ad814d7de3f9,GR,0.5169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03538,0.0,0.0,0.0,,,,,,,,,,
1045139040,kgs,10263,False,True,0.0,True,3,,88f7a76d341ae31d,"RHOB,NPHI,PEF,CALI",1.0,0.0,0.9923,1.0,0.1918,1.0,0.0862,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0417,0.05063,0.02242,0.05609,,,,,,
1045139042,kgs,5452,False,True,0.0,True,6,,6a31b248913fdd9b,"GR,RHOB,SP,CALI,RDEP,RMED",0.0103,0.0066,1.0,1.0,1.0,0.0,0.6775,0.0002,0.0044,1.0,1.0,0.04466,0.0,0.0,0.0,0.03102,,,0.06257,0.00624,0.03632,0.04256,,,
1045139046,kgs,5731,False,True,0.0,True,7,,6f7f4f1f4b6ffc45,"GR,RHOB,DTC,SP,CALI,RDEP,RMED",0.0112,0.007,1.0,0.0049,1.0,0.0,0.0143,0.0,0.0054,1.0,1.0,0.03917,0.0,0.0,0.0,0.04094,,,0.07063,0.00855,0.02844,0.04,0.03717,,
1045139052,kgs,7413,False,True,0.0,True,9,,a8156007183a340a,"GR,RHOB,NPHI,DTC,PEF,SP,CALI,RDEP,RMED",0.0097,0.7883,0.7905,0.0564,0.7883,0.0022,0.7883,0.0022,0.0019,1.0,1.0,0.03038,0.0,0.0,0.0,0.0478,0.05409,0.04143,0.08222,0.0269,0.03839,0.04852,0.04861,,
1045139065,kgs,8168,False,True,0.0,True,7,,7feb193ca8968878,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0094,0.8508,0.853,1.0,1.0,0.0023,0.851,0.0011,0.0,1.0,1.0,0.03127,0.0,0.0,0.0,0.0443,0.05495,,0.07149,0.03338,0.03027,0.04346,,,
1045139081,kgs,1414,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),6c31b3ffe3ee35c6,GR,0.0141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0538,0.0,0.0,0.0,,,,,,,,,,
1045139082,kgs,1412,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),4e8b23391ef32258,GR,0.0149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05967,0.0,0.0,0.0,,,,,,,,,,
1045139083,kgs,1411,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),c395c8501ef8fdcd,GR,0.0149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04964,0.0,0.0,0.0,,,,,,,,,,
1045139084,kgs,1411,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ae4516333a447cd0,"GR,NPHI",0.0156,1.0,0.9986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0576,0.0,0.0,0.0,,0.0,,,,,,,,
