source,raw_mnemonic,raw_unit,count
kgs,RHOC,G/CC,356
kgs,RLL3,OHM-M,354
kgs,DPOR,PU,351
kgs,DEN(CDL),G/CC,331
kgs,POR(DEN),PERCENT,331
kgs,GAMMA,API-GR,330
kgs,RES(MI),OHM-M,324
kgs,RES(DI),OHM-M,322
kgs,POR(NEU),PERCENT,309
kgs,TEMP,DEG,285
kgs,COMP,G/CC,282
kgs,DEL TEMP,DEG,279
kgs,RXORT,,265
kgs,AVTX,FT3,248
kgs,BVTX,FT3,248
kgs,LTEN,LB,242
kgs,RES(DG),OHM-M,230
kgs,CCL,,227
kgs,COND(DI),MMHO/M,212
kgs,MI,OHM-M,211
kgs,MN,OHM-M,211
kgs,CALIPER,INCH,210
kgs,MCAL,IN,203
kgs,CILD,MMHO/M,190
kgs,LSPD,FT/MIN,188
kgs,CCL,,174
kgs,CNDL,PU,171
kgs,CNLS,PU,171
kgs,CNSS,PU,171
kgs,SPOR,PU,150
kgs,ITT,MSEC,149
kgs,ABHV,FT3,148
kgs,CALN,IN,134
kgs,CALD,IN,133
kgs,CILD,MMHO,131
kgs,DPOR,pu,131
kgs,RHOC,g/cc,130
kgs,LWTLB,LB,128
kgs,DRHO,G/C3,127
kgs,MEL15,OHM-M,125
kgs,MEL20,OHM-M,125
kgs,MELCAL,IN,122
kgs,CALIPERL,INCH,121
kgs,DPLS,%,103
kgs,NPLS,%,102
kgs,RLL3,Ohm-m,101
kgs,MINMK,,88
kgs,RES(GRD),OHM-M,88
kgs,LSD,cps,81
kgs,COND(MI),MMHO/M,78
kgs,COND(DI):1,MMHO/M,74
kgs,COND(DI):2,CPS,74
kgs,CILD,mmho-m,73
kgs,CLL3,mmho-m,64
kgs,CILM,mmho-m,61
kgs,SSD,cps,58
kgs,ABHV,ft3,57
kgs,AMP3FT,mV,54
kgs,AMP5FT,mV,54
kgs,TT5FT,usec,54
kgs,AMPCAL,mV,52
kgs,DPHI,%,45
kgs,TBHV,FT3,45
kgs,TTCAL,usec,45
kgs,CCLPERF1,,44
kgs,CCLPERF2,,42
kgs,CCLPERF3,,40
kgs,AMP3FT,MV,37
kgs,AMP5FT,MV,37
kgs,SCAL,in,37
kgs,AMPCAL,MV,34
kgs,TT5FT,USEC,34
kgs,TTCAL,USEC,34
kgs,HVOLTA,V,28
kgs,DPSS,%,26
kgs,NPSS,%,26
kgs,CCLPERF4,,25
kgs,DPDL,%,23
kgs,NPDL,%,23
kgs,LTEN,lb,22
kgs,LSPD,ft/min,19
kgs,TENS,lbs,19
kgs,CT90,mmo/m,18
kgs,RT10,ohmm,18
kgs,RT20,ohmm,18
kgs,RT30,ohmm,18
kgs,RT60,ohmm,18
kgs,RT90,ohmm,18
kgs,RXO,ohmm,18
kgs,SPHI,decp,18
kgs,CO90,mmo/m,17
kgs,DLIM,decp,17
kgs,DPHI,decp,17
kgs,DPHS,decp,17
kgs,DRHO,g/cc,17
kgs,DTMP,DEGF,17
kgs,ITTT,us,17
kgs,NPHS,decp,17
kgs,RO10,ohmm,17
kgs,RO20,ohmm,17
kgs,RO30,ohmm,17
kgs,RO60,ohmm,17
kgs,RO90,ohmm,17
kgs,CNLS,pu,16
kgs,MINV,ohmm,16
kgs,MNOR,ohmm,16
kgs,DEVI,DEG,15
kgs,W1,cps,15
kgs,W2,cps,15
kgs,W3,cps,15
kgs,W4,cps,15
kgs,CT10,mmo/m,14
kgs,CT20,mmo/m,14
kgs,CT30,mmo/m,14
kgs,CT60,mmo/m,14
kgs,ITTI,us,14
kgs,CO10,mmo/m,13
kgs,CO20,mmo/m,13
kgs,CO30,mmo/m,13
kgs,CO60,mmo/m,13
kgs,DPHD,decp,13
kgs,DRHO,G/CC,13
kgs,NPHD,decp,13
kgs,RWA,ohmm,13
kgs,SPHD,decp,13
kgs,SPHL,decp,13
kgs,SPHS,decp,13
kgs,XPHI,decp,13
kgs,DI,in,12
kgs,AHV,F3,11
kgs,BHV,F3,11
kgs,TBHV,ft3,11
kgs,CCL2,,10
kgs,DPOR,PERCENT,10
kgs,DTEMP,DEG,10
kgs,RES(SG),OHM-M,10
kgs,TT3FT,USEC,10
kgs,AHVT,ft3,9
kgs,BHVT,ft3,9
kgs,CILD2,CPS,9
kgs,POR(NEU):1,PERCENT,9
kgs,POR(NEU):2,PERCENT,9
kgs,SWPOR,pu,9
kgs,DTMP,degF,8
kgs,TEMP,degF,8
kgs,AMPTEMP,mV,7
kgs,ATT3,DB/FT,7
kgs,PECLN,,7
kgs,TTTEMP,usec,7
