source,raw_mnemonic,raw_unit,count
nlog,DRHO,G/C3,11
nlog,TIME,MS,11
nlog,CS,F/HR,7
nlog,LITH,CPS,6
nlog,LL,CPS,6
nlog,LS,CPS,6
nlog,LSRH,G/C3,6
nlog,LU,CPS,6
nlog,LURH,G/C3,6
nlog,S1RH,G/C3,6
nlog,SS1,CPS,6
nlog,SS2,CPS,6
nlog,ETIM,S,5
nlog,HV,V,5
nlog,LSHV,V,5
nlog,MARK,M,5
nlog,RCAL,IN,5
nlog,RLIT,CPS,5
nlog,RLL,CPS,5
nlog,RLS,CPS,5
nlog,RLU,CPS,5
nlog,RSS1,CPS,5
nlog,RSS2,CPS,5
nlog,SN,OHMM,5
nlog,SSHV,V,5
nlog,FFLS,,4
nlog,FFSS,,4
nlog,NRAT,,4
nlog,RGR,GAPI,4
nlog,SLDT,,4
nlog,TENS,LBF,4
nlog,TNRA,,4
nlog,ABS,m2,3
nlog,AFCD,m2,3
nlog,AMTE,DEGC,3
nlog,AREA,m2,3
nlog,AVOL,M3,3
nlog,CCSW,,3
nlog,CDF,N,3
nlog,CS,ft/h,3
nlog,CVEL,m/min,3
nlog,DF,N,3
nlog,DIFF,M,3
nlog,ETIM,s,3
nlog,FCD,in,3
nlog,FCNL,CPS,3
nlog,HDAR,in,3
nlog,HTEN,LBF,3
nlog,HVOL,M3,3
nlog,ICV,m3,3
nlog,IHV,m3,3
nlog,LDEN,G/C3,3
nlog,LHVD,V,3
nlog,MRES,OHMM,3
nlog,MTEM,DEGC,3
nlog,NCNL,CPS,3
nlog,QRSS,,3
nlog,RHGX,G/C3,3
nlog,RLLL,CPS,3
nlog,RLLU,CPS,3
nlog,RLUL,CPS,3
nlog,RLUU,CPS,3
nlog,RSLL,CPS,3
nlog,RSLU,CPS,3
nlog,RSUL,CPS,3
nlog,RSUU,CPS,3
nlog,RTNR,,3
nlog,SCNL,,3
nlog,SHVD,V,3
nlog,TALP,,3
nlog,TENS,LB,3
nlog,TENS,lbf,3
nlog,TIME,ms,3
nlog,TOD,S,3
nlog,AIAV,Mrayl,2
nlog,AIAV_RF,Mrayl,2
nlog,AIMN,Mrayl,2
nlog,AIMN_RF,Mrayl,2
nlog,AIMX,Mrayl,2
nlog,AIMX_RF,Mrayl,2
nlog,APLW,CPS,2
nlog,APUW,CPS,2
nlog,AWAV,dB,2
nlog,AWAV_RF,dB,2
nlog,AWMN,dB,2
nlog,AWMN_RF,dB,2
nlog,AWMX,dB,2
nlog,AWMX_RF,dB,2
nlog,AZEC,deg,2
nlog,AZEC_EXT,deg,2
nlog,AZEC_RF,deg,2
nlog,BDQC,,2
nlog,BHPR,kPa,2
nlog,BHT,DEGC,2
nlog,BHTD,DC/S,2
nlog,BHTF,DEGC,2
nlog,BPRE,kPa,2
nlog,BSD1,,2
nlog,CADP,IN,2
nlog,CAPD,IN,2
nlog,CCLU,in,2
nlog,CEMR,,2
nlog,CFGR,,2
nlog,CFTC,1/s,2
nlog,CFVL,us/ft,2
nlog,CNTC,1/s,2
nlog,CZMD,Mrayl,2
nlog,DALP,,2
nlog,DCOR,G/C3,2
nlog,DCRF,CPS,2
nlog,DCRN,CPS,2
nlog,DEPT:2,M,2
nlog,DHVF,V,2
nlog,DNPH,m3/m3,2
nlog,DPHI,,2
nlog,DPOR,%,2
nlog,DPRD,%,2
nlog,DPRS,%,2
nlog,DRTA,,2
nlog,ECCE,in,2
nlog,ECCEEXT_RF,in,2
nlog,ECCE_EXT,in,2
nlog,ECCE_RF,in,2
nlog,ECGR,gAPI,2
nlog,ECGR_EDTC,gAPI,2
nlog,ERAV,in,2
nlog,ERAV_EXT,in,2
nlog,ERAV_RF,in,2
nlog,ERMN,in,2
nlog,ERMN_EXT,in,2
nlog,ERMN_RF,in,2
nlog,ERMX,in,2
nlog,ERMX_EXT,in,2
nlog,ERNO,in,2
nlog,GASR,,2
nlog,GDEV,deg,2
nlog,GDEV_EDTC,deg,2
nlog,GNMN,dB,2
nlog,GNMX,dB,2
nlog,GRDP,GAPI,2
nlog,GRPD,GAPI,2
nlog,GR_EDTC,gAPI,2
nlog,GTEM,degC,2
nlog,HDEN,G/C3,2
nlog,HLRGB,,2
nlog,HPATT,,2
nlog,HTEM,degC,2
nlog,HWEC,deg/m,2
nlog,HWER,m,2
nlog,IDQC,in,2
nlog,IRAV,in,2
nlog,IRAV_EXT,in,2
nlog,IRAV_RF,in,2
nlog,IRMN,in,2
nlog,IRMN_EXT,in,2
nlog,IRMN_RF,in,2
nlog,IRMX,in,2
nlog,IRMX_EXT,in,2
nlog,IRMX_RF,in,2
nlog,IRNO,in,2
nlog,ITT,S,2
nlog,LATL,OHMM,2
nlog,LBDF,----,2
nlog,LBDN,----,2
nlog,LLL,CPS,2
nlog,LLU,CPS,2
nlog,LN,OHMM,2
nlog,LSD1,,2
nlog,LUL,CPS,2
nlog,LUU,CPS,2
nlog,MARK,----,2
nlog,MARK,,2
nlog,MDR,,2
nlog,MTXD,G/C3,2
nlog,NCRF,CPS,2
nlog,NCRN,CPS,2
nlog,NCYT,degC,2
nlog,NEUT,API,2
nlog,NGPE,,2
nlog,NP5D,%,2
nlog,NP5L,%,2
nlog,NP5R,%,2
nlog,NP5S,%,2
nlog,NPL,m3/m3,2
nlog,NRHO,G/C3,2
nlog,PARI,,2
nlog,PARN,,2
nlog,PEDF,B/E,2
nlog,PHIE_HILT,m3/m3,2
nlog,PHND,,2
nlog,POTA,,2
nlog,PPLW,CPS,2
nlog,PPUW,CPS,2
nlog,PR,,2
nlog,PXND_HILT,m3/m3,2
nlog,QCBSL,,2
nlog,QCMCFL,,2
nlog,QCPOR,,2
nlog,QLS,G/C3,2
nlog,QRLS,G/C3,2
nlog,QSS,G/C3,2
nlog,RB_USIT,deg,2
nlog,RCFT,1/s,2
nlog,RCNT,1/s,2
nlog,RHGX_HILT,g/cm3,2
nlog,RMFA_HILT,ohm.m,2
nlog,RNRA,,2
nlog,RO_HILT,ohm.m,2
nlog,RSDF,----,2
nlog,RSDN,----,2
nlog,RSGR,GAPI,2
nlog,RW1N,CPS,2
